Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-20T18:38:25Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",4.5,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Confident,"It's a massive kick in the teeth. I had my exam cancelled, I've been delayed in moving on twice and I'm now being asked to jump through extra hoops again. To bolster my portfolio points now I need to do a 2 year MD or lead a research program or do time in another speciality. What more do you want from me? I'm very close to losing trust and faith in the training system.",258
2021-05-20T18:38:50Z,Yes,25-30,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Further education, e.g. pursue a higher degree, Work abroad",No,Yes,Not confident,"The communication regarding interviews and CT3 top up years has been incredibly poor. 
I've had training programme directors apologise to me as their advice has been changing on a monthly basis for the last year. 
The situation has result in an incredible amount of stress for key workers during a pandemic. Whilst I understand the need for the change, it has been mismanaged and become a shambles. A generation of anaesthetists have lost faith in the system.",259
2021-05-20T18:40:13Z,Yes,25-30,Female,Health Education Thames Valley,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"I feel extremely let down that despite the year of disruption and the demands place on me as an anaesthetics trainee that I have not been able to get the job I want and deserve. It is ridiculous and insulting that there are not more places available, given that there is a deficit in consultants and an enormous backlog of surgery to catch up on. I have considered leaving the speciality, the region and the country because of this mess. I am devastated and exhausted and angry that I have been let down in this way.",260
2021-05-20T18:43:23Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, ICM ST3 post",Yes,Yes,Not confident,"I feel that the selection process favours people who ""play the game"" or are able to ""talk a good game"" but not people like me who are able to do the job really well but are more reserved in nature and find it more difficult to sell themselves in an interview or lack the ruthlessness to grab the opportunities to score points on the self-assessment. This does not make us bad doctors or unworthy of progressing.

A large part of the blow is that there is no planned recruitment round for August 2022 and I can't really understand why. The vast majority of those who did not get a job this year probably get their CT3-equivalent competencies and would therefore be in a position to a start ST4, and with the numbers who were not successful, an August 2022 recruitment round would still be reasonably competitive. Delaying to 2023 when there will be a fresh batch completing their core training to add to the numbers will only exacerbate the problem. Holding an August 2022 ST4 recruitment round would be an excellent chance to get more people back into training and moving their careers forward. Those starting ST3 this August will be transitioning over to the new curriculum from August 2022 anyway, so I really don't see the need to not recruit next year, especially when the college seems to recognise the workforce shortages at all levels and increasing future demands in anaesthesia. I recognise that the college is not responsible for setting training numbers, but I can well imagine that they were involved with the decision not to have an August 2022 recruitment round, and simply don't understand that decision. A change of heart in favour of holding an August 2022 recruitment round would surely recognise the hard work and unprecedented sacrifice that this group of doctors in particular have made during the pandemic of the last 12-18 months and would certainly be a major boost for their morale, well-being and mental health.",261
2021-05-20T18:45:59Z,Yes,25-30,Male,Health Education East of England,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Permanently leaving the medical profession",Don't know,Yes,Not confident,"Primary FRCA is not worth any points in the overall process, passing the primary FRCA despite COVID-19 during CT1-2 should be recognised and/or made mandatory again for future applications.

It would be interesting to know what proportion of successful ST3 applicants:
a) had achieved the full primary FRCA 
b) whether those who did not have the primary FRCA were still in core training or post CCT 
As not spending time passing your exam during CT1-2 which is the conventional and expected route up until COVID is actually advantageous compared to spending months revising for an exam that does not contribute any weighting to the overall ST3 process! 

In addition to this, the rules for current ST3s from Feb 2021 intake for passing the primary FRCA by end of ST3 seem to have been relaxed, another goalpost move and arguably unfair advantage. 

The interview process seemed targeted at trainees with additional experience in anaesthesia (disadvantaging those who have gone straight through core training without any need for gaps etc.), especially when the first interview question is ""what is your clinical experience outside of core anaesthetics!""

There is significant weighting given to the interviewers being a single station with fairly generic questions that do not allow any demonstration of clinical acumen. It is an interesting observation to note that for CT1 my rank was in top 50 and for ST3 it was ~600th! The individual interview domains were ranked as ""very good"" or ""typical"" whereas global rating was significantly lower with unhelpful feedback comments given.",262
2021-05-20T18:50:28Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263
2021-05-20T18:53:51Z,Yes,25-30,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Work abroad, ED fellow",No,Yes,Not confident,"I feel the response from the college to be very vague and slow out of the gate. Many issues were raised by trainees upon announcing the issue, but seem not to have been worked out yet. We also get very bland responses about our mandated year out as 'opportunities to do interesting things', when in fact what we need is a proper apology for the kick in the teeth to this enforced delay in training and recognition that the college has let us down with this.",264
2021-05-20T18:56:19Z,Yes,31-35,Male,Health Education North East,"Not currently in contracted employment, or currently a locum",3,"Not currently contracted, or working as a locum",Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad, Career break",No,Yes,Not confident,NA,265
2021-05-20T18:57:33Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2.5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Work abroad, Career break",No,Yes,Not sure,NA,266
2021-05-20T18:59:28Z,Yes,25-30,Female,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,No,"Non-training fellow post, Work abroad",Don't know,Yes,Not sure,Not enough information provided and certainly not done in a timely manner at all. Just adds to the overall anxiety which is not needed at this time. Expected better from RCoA,267
2021-05-20T19:02:05Z,Yes,31-35,Female,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Further education, e.g. pursue a higher degree",No,Yes,Not confident,I dont know what more I can do to obtain a post: I have received good feedback and maximised my portfolio. All round frustrated.,268
2021-05-20T19:04:29Z,Yes,25-30,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID",Yes,No,Yes,Work abroad,No,Yes,Not confident,NA,269
2021-05-20T19:06:14Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,No,Yes,Not confident,Extremely concerning the situation. Lack of job security and assurances for the future considering anaesthetics is a focused training programme.,270
2021-05-20T19:10:46Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Work abroad, Career break, Permanently leaving the medical profession",Don't know,Yes,Not confident,"Why were we allowed in to core training if this was going to happen at specialty training.

It should come as no surprise that anaesthetic SHOs will attempt to become anaesthetic registrars after investing 2 to 3 years of their life in the training programme. So how did 2/3rds (the majority of applicants) not make it into anaesthetic ST3 posts?!

It's appaling how we have been treated this year and the change in curriculum after a generation defining pandemic is surely Ill conceived! 

I would also like to know is this representative of the amount of jobs available at the end of training? In which case should I leave anaesthetics now as there will be no job for me when I finish?

Furthermore what is being done about applying again in 2 years. Surely the same problem will arise unless training numbers are increased?! What is HEE or the college going to do about that?",271
2021-05-20T19:11:58Z,Yes,25-30,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,No,Not confident,"The self assessment scoring system is contradictory. You are meant to show commitment to anaesthesia but a lot of the avenues were you score top marks are unrelated to anaesthesia : additional degrees , pHds, time spent in other specialties.

Clinical scenario is a good way to gauge a candidates ability to work under pressure, prioritise and show their clinical competencies it should be brought back into the interviews

The GMC and RCOA need to streamline the cesr route and  remove the stigma attached to the cesr route.",272
2021-05-20T19:12:12Z,Yes,31-35,Male,Health Education London,"Not currently in contracted employment, or currently a locum",4,"Not currently contracted, or working as a locum",Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,NA,273
2021-05-20T19:14:11Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Opening it up to people with the MCQ only is not fair on people who worked really hard to pass the osce/viva and have the full exam.,274
2021-05-20T19:15:12Z,Yes,31-35,Female,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275
2021-05-20T19:15:29Z,Yes,31-35,Male,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",3.5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curriculum changes have lead to a clear bottle neck in the recruitment process and I feel the college should have provided reassurance regarding the CT3 LAT posts to bridge the gap in training for current CT2s who have not been successful.  Having spoken to some of my colleagues I think a lot of very capable and enthusiastic anaesthetists will be lost from the specialty as a direct result of this and given the shortages of anaesthetists across Scotland this seems pretty laugable.,276
2021-05-20T19:17:44Z,Yes,31-35,Female,Health Education Wessex,Anaesthetic Core Trainee,4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Career break,No,Yes,Not confident,NA,277
2021-05-20T19:19:05Z,Yes,31-35,Female,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,It is now unfair that people who have not passed the primary FRCA are allowed to apply for ST3.,278
2021-05-20T19:19:09Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The self assessment section appears extremely unreflective of the job of an ST3 it is very unfair. It also significantly favours graduates who have had a previous career or research background prior to medicine.,279
2021-05-20T19:19:57Z,Yes,31-35,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Career break, Permanently leaving the medical profession",No,Yes,Not confident,"Devastated, exhausted, disillusioned.",280
